,location,total_sqft,bath,price,bhk
0,1st Block BEL Layout,1540.0,3.0,85.0,3
1,1st Block HBR Layout,600.0,1.0,45.0,1
2,1st Block HBR Layout,3150.0,4.0,150.0,4
3,1st Block HRBR Layout,2300.0,3.0,80.0,3
4,1st Block HRBR Layout,1250.0,2.0,67.0,2
5,1st Block Jayanagar,2850.0,4.0,428.0,4
6,1st Block Jayanagar,1630.0,3.0,194.0,3
7,1st Block Jayanagar,1875.0,2.0,235.0,3
8,1st Block Jayanagar,1200.0,2.0,130.0,3
9,1st Block Jayanagar,1235.0,2.0,148.0,2
10,1st Block Jayanagar,2750.0,4.0,413.0,4
11,1st Block Jayanagar,2450.0,4.0,368.0,4
12,1st Block Koramangala,1415.0,2.0,110.0,2
13,1st Block Koramangala,860.0,2.0,65.5,2
14,1st Block Koramangala,3000.0,3.0,300.0,4
15,1st Block Koramangala,2350.0,3.0,210.0,3
16,1st Block Koramangala,3000.0,5.0,500.0,4
18,1st Phase JP Nagar,1875.0,3.0,167.0,3
19,1st Phase JP Nagar,1500.0,5.0,85.0,5
20,1st Phase JP Nagar,2065.0,4.0,210.0,3
22,1st Phase JP Nagar,2059.0,3.0,225.0,3
23,1st Phase JP Nagar,1394.0,2.0,100.0,2
24,1st Phase JP Nagar,1077.0,2.0,93.0,2
25,1st Phase JP Nagar,1566.0,2.0,180.0,2
26,1st Phase JP Nagar,840.0,2.0,50.0,1
27,1st Phase JP Nagar,1590.0,3.0,131.0,3
28,1st Phase JP Nagar,2180.0,3.0,210.0,3
29,1st Phase JP Nagar,1180.0,2.0,88.5,2
30,1st Phase JP Nagar,1200.0,2.0,86.0,2
31,1st Phase JP Nagar,1394.0,2.0,85.0,2
32,1st Phase JP Nagar,2077.0,3.0,175.0,3
34,1st Phase JP Nagar,1205.0,2.0,85.0,2
36,1st Phase JP Nagar,900.0,2.0,75.0,2
37,1st Stage Indira Nagar,1400.0,2.0,67.0,2
38,1st Stage Indira Nagar,1200.0,2.0,55.0,2
39,1st Stage Indira Nagar,940.0,2.0,56.0,2
40,1st Stage Indira Nagar,3000.0,4.0,301.0,4
41,2nd Block Hrbr Layout,1480.0,3.0,90.0,3
42,2nd Block Hrbr Layout,1480.0,3.0,90.0,3
43,2nd Block Hrbr Layout,1550.0,3.0,110.0,3
44,2nd Block Hrbr Layout,1350.0,4.0,235.0,4
45,2nd Block Jayanagar,1718.0,3.0,223.0,3
46,2nd Block Jayanagar,1000.0,2.0,97.0,2
47,2nd Phase JP Nagar,2800.0,4.0,200.0,5
48,2nd Phase JP Nagar,1000.0,1.0,55.0,2
49,2nd Phase JP Nagar,1040.0,2.0,78.0,2
50,2nd Phase JP Nagar,850.0,2.0,42.5,2
51,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
52,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
53,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
54,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
55,2nd Phase Judicial Layout,900.0,2.0,41.0,2
56,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
57,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
58,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
59,2nd Stage Arekere Mico Layout,1200.0,4.0,130.0,4
60,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
61,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
62,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
63,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
64,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
65,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
66,3rd Block Banashankari,2400.0,8.0,650.0,6
67,3rd Block Banashankari,1200.0,4.0,175.0,4
68,3rd Block Banashankari,2400.0,4.0,325.0,5
69,3rd Block Hrbr Layout,1056.0,2.0,80.0,2
70,3rd Block Hrbr Layout,1320.0,2.0,90.0,2
71,3rd Block Hrbr Layout,1300.0,2.0,95.0,2
72,3rd Block Hrbr Layout,1650.0,3.0,140.0,3
73,3rd Block Jayanagar,2150.0,3.0,240.0,3
74,3rd Block Koramangala,2100.0,3.0,270.0,3
75,3rd Phase JP Nagar,4500.0,4.0,345.0,4
76,4th Block Jayanagar,900.0,2.0,70.0,2
77,4th Block Jayanagar,2005.0,3.0,240.0,3
78,4th Block Jayanagar,1567.2,2.0,190.0,3
79,4th Block Koramangala,1225.0,2.0,150.0,2
80,4th Block Koramangala,4500.0,9.0,500.0,9
81,4th Block Koramangala,1800.0,3.0,140.0,3
82,4th Block Koramangala,3400.0,6.0,420.0,4
83,4th Block Koramangala,1269.0,2.0,97.0,2
84,4th Phase JP Nagar,1070.0,2.0,38.9,2
85,4th Phase JP Nagar,1080.0,2.0,38.0,2
86,4th Phase JP Nagar,600.0,4.0,70.0,2
87,4th T block Jayanagar,2401.0,3.0,185.0,3
88,4th T block Jayanagar,3900.0,4.0,333.0,4
89,4th T block Jayanagar,1550.0,4.0,120.0,4
90,4th T block Jayanagar,2100.0,3.0,220.0,3
91,4th T block Jayanagar,2400.0,3.0,185.0,3
92,5th Block Hbr Layout,1206.0,2.0,56.0,2
93,5th Block Hbr Layout,1270.0,2.0,70.0,3
94,5th Block Hbr Layout,1312.0,2.0,69.0,2
95,5th Block Hbr Layout,1100.0,2.0,48.0,2
96,5th Block Hbr Layout,3600.0,5.0,130.0,5
97,5th Block Hbr Layout,5100.0,5.0,300.0,6
98,5th Phase JP Nagar,1075.0,2.0,60.0,2
99,5th Phase JP Nagar,1150.0,3.0,52.5,2
100,5th Phase JP Nagar,1256.0,2.0,62.8,2
101,5th Phase JP Nagar,1207.0,2.0,63.0,2
102,5th Phase JP Nagar,1725.0,2.0,100.0,3
103,5th Phase JP Nagar,1440.0,2.0,60.0,2
104,5th Phase JP Nagar,1700.0,2.0,100.0,3
106,5th Phase JP Nagar,2500.0,5.0,110.0,5
107,5th Phase JP Nagar,600.0,1.0,30.0,1
108,5th Phase JP Nagar,1390.0,2.0,65.0,2
109,5th Phase JP Nagar,1256.0,2.0,62.8,2
110,5th Phase JP Nagar,1000.0,2.0,48.0,2
111,5th Phase JP Nagar,1350.0,2.0,75.0,3
112,5th Phase JP Nagar,552.0,1.0,23.5,1
113,5th Phase JP Nagar,1200.0,2.0,51.0,2
117,5th Phase JP Nagar,1030.0,2.0,57.0,2
118,5th Phase JP Nagar,1200.0,2.0,68.0,2
119,5th Phase JP Nagar,1190.0,2.0,61.8,2
120,5th Phase JP Nagar,4000.0,5.0,170.0,5
121,5th Phase JP Nagar,1080.0,2.0,53.0,2
122,5th Phase JP Nagar,1041.0,2.0,54.0,2
123,5th Phase JP Nagar,812.0,2.0,42.0,2
124,5th Phase JP Nagar,1010.0,2.0,57.0,2
126,5th Phase JP Nagar,1075.0,2.0,60.0,2
127,5th Stage BEML Layout,2000.0,3.0,85.0,3
128,5th Stage BEML Layout,2000.0,3.0,85.0,3
129,6th Phase JP Nagar,1192.0,2.0,74.0,2
130,6th Phase JP Nagar,1180.0,2.0,80.0,2
131,6th Phase JP Nagar,3245.0,4.0,250.0,4
132,6th Phase JP Nagar,1645.0,3.0,100.0,3
133,6th Phase JP Nagar,1140.0,2.0,65.0,2
134,6th Phase JP Nagar,2040.0,3.0,200.0,3
135,6th Phase JP Nagar,1213.0,2.0,63.0,2
136,6th Phase JP Nagar,1216.0,2.0,60.0,2
137,6th Phase JP Nagar,1460.0,2.0,80.0,2
138,6th Phase JP Nagar,2003.0,3.0,200.0,3
139,6th Phase JP Nagar,1810.0,3.0,131.0,3
140,6th Phase JP Nagar,1515.0,2.0,135.0,3
141,6th Phase JP Nagar,1192.0,2.0,75.0,2
142,6th Phase JP Nagar,1280.0,2.0,88.0,2
143,6th block Koramangala,1117.0,2.0,110.0,2
144,6th block Koramangala,3000.0,3.0,400.0,3
145,7th Block Jayanagar,3000.0,3.0,528.0,5
146,7th Block Jayanagar,2400.0,3.0,408.0,3
147,7th Block Jayanagar,1903.0,2.0,293.0,3
148,7th Phase JP Nagar,1080.0,2.0,72.0,2
149,7th Phase JP Nagar,1270.0,2.0,93.0,2
150,7th Phase JP Nagar,1420.0,2.0,100.0,3
151,7th Phase JP Nagar,1850.0,3.0,150.0,3
152,7th Phase JP Nagar,1245.0,2.0,94.0,2
153,7th Phase JP Nagar,1175.0,2.0,82.0,2
154,7th Phase JP Nagar,1400.0,2.0,95.0,3
155,7th Phase JP Nagar,2225.0,3.0,160.0,3
156,7th Phase JP Nagar,1050.0,2.0,71.0,2
157,7th Phase JP Nagar,1100.0,2.0,46.0,2
158,7th Phase JP Nagar,918.0,2.0,50.49,2
159,7th Phase JP Nagar,1450.0,2.0,100.0,3
160,7th Phase JP Nagar,1190.0,2.0,49.98,2
161,7th Phase JP Nagar,1420.0,2.0,96.0,3
162,7th Phase JP Nagar,1680.0,3.0,120.0,3
163,7th Phase JP Nagar,980.0,2.0,69.0,2
164,7th Phase JP Nagar,1180.0,2.0,72.0,2
168,7th Phase JP Nagar,1400.0,3.0,115.0,3
169,7th Phase JP Nagar,1270.0,2.0,83.0,2
171,7th Phase JP Nagar,2503.0,4.0,188.0,4
172,7th Phase JP Nagar,2200.0,3.0,190.0,3
175,7th Phase JP Nagar,1575.0,2.0,110.0,3
176,7th Phase JP Nagar,1850.0,3.0,140.0,3
177,7th Phase JP Nagar,1575.0,2.0,120.0,3
178,7th Phase JP Nagar,1850.0,3.0,150.0,3
179,7th Phase JP Nagar,1680.0,3.0,120.0,3
180,7th Phase JP Nagar,1175.0,2.0,82.5,2
183,7th Phase JP Nagar,1215.0,2.0,90.0,2
184,7th Phase JP Nagar,1050.0,2.0,75.0,2
185,7th Phase JP Nagar,1300.0,3.0,89.13,3
186,7th Phase JP Nagar,1130.0,2.0,73.0,2
187,7th Phase JP Nagar,1450.0,3.0,100.0,3
189,7th Phase JP Nagar,1050.0,2.0,50.0,2
190,7th Phase JP Nagar,1275.0,2.0,87.0,2
192,7th Phase JP Nagar,1650.0,3.0,110.0,3
193,7th Phase JP Nagar,850.0,2.0,42.0,2
194,7th Phase JP Nagar,1680.0,3.0,117.0,3
195,7th Phase JP Nagar,1850.0,3.0,150.0,3
196,7th Phase JP Nagar,1236.0,2.0,61.33,2
197,7th Phase JP Nagar,1000.0,2.0,53.0,2
198,7th Phase JP Nagar,1680.0,3.0,125.0,3
199,7th Phase JP Nagar,1675.0,2.0,135.0,3
200,7th Phase JP Nagar,1187.0,2.0,59.0,2
201,7th Phase JP Nagar,1850.0,3.0,155.0,3
202,7th Phase JP Nagar,1000.0,2.0,61.0,2
203,7th Phase JP Nagar,1460.0,2.0,100.0,3
204,7th Phase JP Nagar,1650.0,3.0,110.0,3
205,7th Phase JP Nagar,1200.0,2.0,62.5,2
206,7th Phase JP Nagar,1000.0,2.0,70.65,2
207,7th Phase JP Nagar,1080.0,2.0,75.0,2
209,7th Phase JP Nagar,1680.0,3.0,125.0,3
210,7th Phase JP Nagar,1460.0,2.0,97.0,3
211,7th Phase JP Nagar,1120.0,2.0,65.0,2
212,7th Phase JP Nagar,1100.0,3.0,60.0,2
213,7th Phase JP Nagar,1790.0,3.0,120.0,3
214,7th Phase JP Nagar,1680.0,3.0,117.0,3
215,7th Phase JP Nagar,1050.0,2.0,77.0,2
216,7th Phase JP Nagar,1050.0,2.0,75.0,2
217,7th Phase JP Nagar,1040.0,2.0,75.0,2
218,7th Phase JP Nagar,1400.0,2.0,95.0,3
219,7th Phase JP Nagar,1800.0,3.0,130.0,3
220,7th Phase JP Nagar,1050.0,2.0,68.0,2
221,7th Phase JP Nagar,1000.0,2.0,60.0,2
222,7th Phase JP Nagar,1680.0,3.0,125.0,3
223,7th Phase JP Nagar,1050.0,2.0,77.47,2
224,7th Phase JP Nagar,1270.0,2.0,80.0,2
226,7th Phase JP Nagar,1680.0,3.0,122.0,3
227,7th Phase JP Nagar,1130.0,2.0,85.0,2
228,7th Phase JP Nagar,1680.0,3.0,130.0,3
229,7th Phase JP Nagar,980.0,2.0,77.44,2
230,7th Phase JP Nagar,1680.0,3.0,112.0,3
232,7th Phase JP Nagar,2095.0,3.0,150.0,3
233,7th Phase JP Nagar,1976.0,3.0,145.0,3
234,7th Phase JP Nagar,1600.0,2.0,110.0,3
235,7th Phase JP Nagar,1765.0,3.0,118.0,3
236,7th Phase JP Nagar,1275.0,2.0,88.0,3
237,7th Phase JP Nagar,1450.0,2.0,102.0,3
238,7th Phase JP Nagar,1575.0,2.0,110.0,3
240,7th Phase JP Nagar,750.0,1.0,47.0,1
241,7th Phase JP Nagar,990.0,2.0,50.0,2
242,7th Phase JP Nagar,1000.0,1.0,60.0,1
244,7th Phase JP Nagar,1430.0,2.0,102.0,3
245,7th Phase JP Nagar,1128.0,2.0,60.0,2
246,7th Phase JP Nagar,1140.0,2.0,57.0,2
247,7th Phase JP Nagar,1420.0,3.0,90.0,3
248,7th Phase JP Nagar,1530.0,2.0,108.0,2
249,8th Block Jayanagar,2000.0,6.0,300.0,6
250,8th Phase JP Nagar,1073.5,2.0,54.005,2
251,8th Phase JP Nagar,451.0,1.0,29.9,1
253,8th Phase JP Nagar,1062.0,2.0,42.47,2
255,8th Phase JP Nagar,1455.0,3.0,73.31,3
256,8th Phase JP Nagar,871.0,2.0,55.0,2
257,8th Phase JP Nagar,1098.0,2.0,43.91,2
258,8th Phase JP Nagar,1800.0,3.0,80.0,3
259,8th Phase JP Nagar,2700.0,4.0,130.0,4
260,8th Phase JP Nagar,1080.0,2.0,38.0,2
261,8th Phase JP Nagar,1059.0,2.0,34.5,2
262,8th Phase JP Nagar,1080.0,2.0,35.0,2
264,8th Phase JP Nagar,1062.0,2.0,42.47,2
265,8th Phase JP Nagar,500.0,1.0,31.0,1
266,8th Phase JP Nagar,1100.0,2.0,35.0,2
267,8th Phase JP Nagar,2100.0,4.0,92.0,4
268,8th Phase JP Nagar,1035.0,2.0,39.33,2
